priority,area,subarea,kind,year,title,authors,local_path,source_url,pdf_url,notes
"P0","theory","auxiliary-mass-flow","paper","2017","A Systematic and Efficient Method to Compute Multi-loop Master Integrals","Xiao Liu; Yan-Qing Ma; Chen-Yu Wang","theory/auxiliary-mass-flow/2017-1711.09572-systematic-efficient-method.pdf","https://arxiv.org/abs/1711.09572","https://arxiv.org/pdf/1711.09572.pdf","Original AMF method paper"
"P0","theory","auxiliary-mass-flow","paper","2020","Calculation of Feynman loop integration and phase-space integration via auxiliary mass flow","Xiao Liu; Yan-Qing Ma; Wei Tao; Peng Zhang","theory/auxiliary-mass-flow/2020-2009.07987-amf-phase-space.pdf","https://arxiv.org/abs/2009.07987","https://arxiv.org/pdf/2009.07987.pdf","Phase-space extension and pedagogical algorithm"
"P0","theory","auxiliary-mass-flow","paper","2021","Multiloop corrections for collider processes using auxiliary mass flow","Xiao Liu; Yan-Qing Ma","theory/auxiliary-mass-flow/2021-2107.01864-collider-processes-amf.pdf","https://arxiv.org/abs/2107.01864","https://arxiv.org/pdf/2107.01864.pdf","Practical collider benchmark paper"
"P0","theory","auxiliary-mass-flow","paper","2022","Automatic computation of Feynman integrals containing linear propagators via auxiliary mass flow","Zhi-Feng Liu; Yan-Qing Ma","theory/auxiliary-mass-flow/2022-2201.11636-linear-propagators-amf.pdf","https://arxiv.org/abs/2201.11636","https://arxiv.org/pdf/2201.11636.pdf","Linear/eikonal propagator support"
"P0","theory","auxiliary-mass-flow","paper","2022","Determining Feynman integrals with only input from linear algebra","Zhi-Feng Liu; Yan-Qing Ma","theory/auxiliary-mass-flow/2022-2201.11637-linear-algebra-only.pdf","https://arxiv.org/abs/2201.11637","https://arxiv.org/pdf/2201.11637.pdf","Conceptual companion to AMFlow"
"P0","theory","auxiliary-mass-flow","paper","2022","AMFlow: a Mathematica package for Feynman integrals computation via auxiliary mass flow","Xiao Liu; Yan-Qing Ma","theory/auxiliary-mass-flow/2022-2201.11669-amflow-package.pdf","https://arxiv.org/abs/2201.11669","https://arxiv.org/pdf/2201.11669.pdf","Main package paper"
"P1","theory","auxiliary-mass-flow","doc-snapshot","2026","AMFlow GitLab README","multiloop-pku","snapshots/amflow/README.md","https://gitlab.com/multiloop-pku/amflow/-/raw/master/README.md","","Current repo usage and dependency surface"
"P1","theory","auxiliary-mass-flow","doc-snapshot","2026","AMFlow GitLab FAQ","multiloop-pku","snapshots/amflow/FAQ.md","https://gitlab.com/multiloop-pku/amflow/-/raw/master/FAQ.md","","Operational troubleshooting and option hints"
"P1","theory","auxiliary-mass-flow","doc-snapshot","2026","AMFlow GitLab CHANGELOG","multiloop-pku","snapshots/amflow/CHANGELOG.md","https://gitlab.com/multiloop-pku/amflow/-/raw/master/CHANGELOG.md","","Feature drift from publication version"
"P1","theory","auxiliary-mass-flow","doc-snapshot","2026","AMFlow options summary","multiloop-pku","snapshots/amflow/options_summary.txt","https://gitlab.com/multiloop-pku/amflow/-/raw/master/options_summary","","Important because defaults include high working precision"
